"productid","startdate","enddate","standardcost","modifieddate"
707,"2011-05-31 00:00:00","2012-05-29 00:00:00","12.0278","2012-05-29 00:00:00"
707,"2012-05-30 00:00:00","2013-05-29 00:00:00","13.8782","2013-05-29 00:00:00"
707,"2013-05-30 00:00:00",NULL,"13.0863","2013-05-16 00:00:00"
708,"2011-05-31 00:00:00","2012-05-29 00:00:00","12.0278","2012-05-29 00:00:00"
708,"2012-05-30 00:00:00","2013-05-29 00:00:00","13.8782","2013-05-29 00:00:00"
708,"2013-05-30 00:00:00",NULL,"13.0863","2013-05-16 00:00:00"
709,"2011-05-31 00:00:00","2012-05-29 00:00:00","3.3963","2012-05-29 00:00:00"
710,"2011-05-31 00:00:00","2012-05-29 00:00:00","3.3963","2012-05-29 00:00:00"
711,"2011-05-31 00:00:00","2012-05-29 00:00:00","12.0278","2012-05-29 00:00:00"
711,"2012-05-30 00:00:00","2013-05-29 00:00:00","13.8782","2013-05-29 00:00:00"
711,"2013-05-30 00:00:00",NULL,"13.0863","2013-05-16 00:00:00"
712,"2011-05-31 00:00:00","2012-05-29 00:00:00","5.7052","2012-05-29 00:00:00"
712,"2012-05-30 00:00:00","2013-05-29 00:00:00","5.2297","2013-05-29 00:00:00"
712,"2013-05-30 00:00:00",NULL,"6.9223","2013-05-16 00:00:00"
713,"2011-05-31 00:00:00","2012-05-29 00:00:00","31.7244","2012-05-29 00:00:00"
713,"2012-05-30 00:00:00","2013-05-29 00:00:00","29.0807","2013-05-29 00:00:00"
713,"2013-05-30 00:00:00",NULL,"38.4923","2013-05-16 00:00:00"
714,"2011-05-31 00:00:00","2012-05-29 00:00:00","31.7244","2012-05-29 00:00:00"
714,"2012-05-30 00:00:00","2013-05-29 00:00:00","29.0807","2013-05-29 00:00:00"
714,"2013-05-30 00:00:00",NULL,"38.4923","2013-05-16 00:00:00"
715,"2011-05-31 00:00:00","2012-05-29 00:00:00","31.7244","2012-05-29 00:00:00"
715,"2012-05-30 00:00:00","2013-05-29 00:00:00","29.0807","2013-05-29 00:00:00"
715,"2013-05-30 00:00:00",NULL,"38.4923","2013-05-16 00:00:00"
716,"2011-05-31 00:00:00","2012-05-29 00:00:00","31.7244","2012-05-29 00:00:00"
716,"2012-05-30 00:00:00","2013-05-29 00:00:00","29.0807","2013-05-29 00:00:00"
716,"2013-05-30 00:00:00",NULL,"38.4923","2013-05-16 00:00:00"
717,"2011-05-31 00:00:00","2012-05-29 00:00:00","747.9682","2012-05-29 00:00:00"
717,"2012-05-30 00:00:00","2013-05-29 00:00:00","722.2568","2013-05-29 00:00:00"
